index,country,city,latitude,longitude,altitude
3846,Gambia,Wassu,13.6833333,-14.8833332,1
185,Algeria,Algiers,36.7630556,3.0505557,1
190,Algeria,Annaba,36.9,7.7666669,1
193,Algeria,Bejaia,36.75,5.0833335,1
268,Algeria,Beni Saf,35.3036111,-1.3808333,1
269,Algeria,Boudouaou,36.7305556,3.4102778,1
317,United States,Long Beach,33.7669623,-118.1892319,1
339,United States,Tampa,27.9475216,-82.4584274,1
399,Angola,Cabinda,-5.55,12.1999998,1
608,Australia,Sydney,-33.86785,151.2073212,1
613,Australia,Gold Coast,-28,153.4333344,1
614,Australia,Newcastle,-32.9271484,151.776474,1
618,Australia,Cairns,-16.9166667,145.7666626,1
620,Australia,Townsville,-19.25,146.8000031,1
622,Australia,Nowra,-34.8833333,150.6000061,1
628,Australia,Mandurah,-32.55,115.6999969,1
641,Australia,Cranbourne,-38.1,145.2833405,1
642,Australia,Caloundra,-26.8,153.1333313,1
650,Australia,Gladstone,-23.85,151.25,1
652,Australia,Warrnambool,-38.3833333,142.4833374,1
656,Australia,Bunbury,-33.3333333,115.6333313,1
665,Australia,Mornington,-38.2166667,145.0333405,1
668,Australia,Burnie,-41.0666667,145.9166718,1
671,Australia,Whyalla,-33.0333333,137.5833282,1
673,Australia,Devonport,-41.1666667,146.3500061,1
677,Australia,Surfers Paradise,-28.0027378,153.4299927,1
683,Australia,Karratha,-20.7291441,116.8547058,1
695,Australia,Ballina,-28.8666667,153.5666656,1
699,Australia,Cleveland,-27.5333333,153.2666626,1
700,Australia,Bongaree,-27.0797222,153.1586151,1
873,Azerbaijan,Masalli,39.0341667,48.665554,1
912,Bahrain,Jidd Hafs,26.2186111,50.5477791,1
941,Bangladesh,Bhola,22.6833333,90.6500015,1
976,Bangladesh,Lalmohan,22.3166667,90.7166672,1
991,Bangladesh,Sarankhola,22.3,89.7833328,1
1001,Bangladesh,Morrelganj,22.4666667,89.8499985,1
1008,Barbados,Bridgetown,13.1,-59.6166649,1
1009,Barbados,Speightstown,13.25,-59.6500015,1
1012,Barbados,Holetown,13.1833333,-59.6500015,1
1212,Belize,Dangriga,16.9666667,-88.2166672,1
1467,Brazil,Salvador,-12.9711111,-38.5108337,1
1468,Brazil,Fortaleza,-3.7172222,-38.5430565,1
1473,Brazil,Recife,-8.0538889,-34.8811111,1
1474,Brazil,Belem,-1.4558333,-48.5044441,1
1475,Brazil,Porto Alegre,-30.0330556,-51.2299995,1
1480,Brazil,Maceio,-9.6658333,-35.7352791,1
1481,Brazil,Sao Luis,-2.5297222,-44.3027763,1
1510,Brazil,Vila Velha,-20.3297222,-40.2924995,1
1513,Brazil,Campos,-21.75,-41.2999992,1
1522,Brazil,Macapa,0.0388889,-51.0663872,1
1528,Brazil,Sao Vicente,-23.9630556,-46.3919449,1
1534,Brazil,Guaruja,-23.9930556,-46.2563896,1
1576,United Kingdom,Kingston upon Hull,53.7445995,-0.3352547,1
1589,United Kingdom,Portsmouth,50.8090806,-1.0714245,1
1598,United Kingdom,Swansea,51.6207877,-3.9432335,1
1599,United Kingdom,Bournemouth,50.7166667,-1.8833333,1
1600,United Kingdom,Southend-on-Sea,51.5378207,0.7143259,1
1604,United Kingdom,Poole,50.7166667,-2,1
1608,United Kingdom,Blackpool,53.8166667,-3.05,1
1620,United Kingdom,Newport,51.5877364,-2.9983504,1
1622,United Kingdom,Eastbourne,50.7687108,0.2845287,1
1641,United Kingdom,Southport,53.6666667,-3,1
1648,United Kingdom,Hartlepool,54.6861111,-1.2125,1
1653,United Kingdom,South Shields,54.9877778,-1.4213889,1
1665,Brunei,Bandar Seri Begawan,4.8833333,114.9333344,1
1666,Brunei,Kuala Belait,4.5833333,114.1833344,1
1667,Brunei,Seria,4.6166667,114.3166656,1
1668,Brunei,Tutong,4.8,114.6500015,1
1697,Bulgaria,Silistra,44.1166667,27.2666664,1
1701,Bulgaria,Svishtov,43.6230556,25.3538895,1
1776,Myanmar,Akyab,20.15,92.9000015,1
1838,Cambodia,Ta Khmau,11.4833333,104.9499969,1
1841,Cambodia,Krong Kaoh Kong,11.6175,102.9805527,1
1851,Cameroon,Douala,4.0502778,9.6999998,1
1902,Cameroon,Bamusso,4.4333333,8.8999996,1
1909,Cameroon,Dizangue,3.7666667,9.9833336,1
1931,Cameroon,Bonaberi,4.0844444,9.666111,1
1963,Canada,Victoria,48.4329357,-123.3693008,1
2042,Canada,Glace Bay,46.19695,-59.9569817,1
2061,Cape Verde,Sal Rei,16.1833333,-22.916666,1
2063,Cape Verde,Porto dos Mosteiros,15.0333333,-24.333334,1
2145,Chile,Talcahuano,-36.7166667,-73.1166687,1
2198,Chile,Ancud,-41.8697222,-73.8202744,1
2322,China,Dandong,40.1291667,124.394722,1
2334,China,Zhangzhou,24.5133333,117.6555557,1
2362,Colombi,Buenaventura,3.8933333,-77.069725,1
2383,Colombi,Tumaco,1.7986111,-78.8155594,1
2441,Comoros,Domoni,-12.2569444,44.5319443,1
2467,Comoros,Djoyezi,-12.2975,43.7733345,1
2480,Comoros,Bimbini,-12.1883333,44.2355537,1
2524,Comoros,Milembeni,-12.1980556,44.2638893,1
2525,Comoros,Mirongani,-12.1905556,44.2524986,1
2528,Comoros,Chomoni,-11.6430556,43.3858337,1
2544,Costa Rica,Puntarenas,9.9762473,-84.838356,1
2682,Croatia,Opatija,45.3391667,14.3083334,1
2696,Croatia,Stobrec,43.5025,16.5222225,1
2725,Croatia,Preko,44.0811111,15.1875,1
2773,Cuba,Baracoa,20.3466667,-74.4958344,1
2797,Cuba,Gibara,21.1097222,-76.1316681,1
2838,Cyprus,Limassol,34.675,33.0333328,1
2840,Cyprus,Famagusta,35.125,33.9500008,1
2843,Cyprus,Protaras,35.0125,34.0583344,1
2928,Cyprus,Akrotiri,34.6041667,32.9583321,1
3035,Denmark,Arhus,56.1567366,10.210762,1
3037,Denmark,Aalborg,57.047999,9.9187012,1
3045,Denmark,Greve,55.5833333,12.3000002,1
3051,Denmark,Charlottenlund,55.75,12.583333,1
3054,Denmark,Helsingor,56.0360649,12.6136026,1
3066,Denmark,Holbaek,55.7166667,11.7166672,1
3067,Denmark,Frederikshavn,57.4407347,10.5366077,1
3077,Denmark,Aabenraa,55.0443427,9.417407,1
3082,Denmark,Solrod Strand,55.5328507,12.2222691,1
3096,Denmark,Espergaerde,56,12.5666666,1
3107,Denmark,Skagen,57.7209333,10.5839376,1
3109,Denmark,Nykobing Mors,56.7933405,8.8528242,1
3114,Denmark,Humlebaek,55.9618012,12.5341024,1
3119,Denmark,Saeby,57.3333333,10.5333328,1
3121,Denmark,Niva,55.9333333,12.5166664,1
3134,Djibouti,Djibouti,11.595,43.148056,1
3143,Djibouti,Loyada,11.4611111,43.2527771,1
3147,Netherlands,The Hague,52.076667,4.2986112,1
3148,Netherlands,Utrecht,52.090833,5.1222219,1
3151,Netherlands,Groningen,53.219167,6.5666671,1
3156,Netherlands,Haarlem,52.3808387,4.6368313,1
3164,Netherlands,Dordrecht,51.81,4.6736112,1
3166,Netherlands,Zwolle,52.5125,6.0944438,1
3173,Netherlands,Leeuwarden,53.2,5.7833333,1
3182,Netherlands,Vlaardingen,51.9125,4.3416672,1
3189,Netherlands,Velsen-Zuid,52.46,4.6500001,1
3194,Netherlands,Nieuwegein,52.029167,5.0805559,1
3204,Netherlands,Kampen,52.555,5.9111109,1
3206,Netherlands,Woerden,52.085,4.8833332,1
3209,Netherlands,Rijswijk,52.0363367,4.3250084,1
3210,Netherlands,Middelburg,51.5,3.613889,1
3215,Netherlands,Ridderkerk,51.8725,4.602778,1
3220,Netherlands,Heerenveen,52.95929,5.918541,1
3224,Netherlands,Maarssen,52.139167,5.041667,1
3230,Netherlands,Beverwijk,52.483333,4.6569438,1
3231,Netherlands,Goes,51.504167,3.8888891,1
3234,Netherlands,Heemskerk,52.5166667,4.6666665,1
3236,Netherlands,Castricum,52.548333,4.6694441,1
3237,Netherlands,Gorinchem,51.8325,4.9749999,1
3240,Netherlands,IJsselstein,52.02,5.043056,1
3243,Netherlands,Maassluis,51.923333,4.25,1
3251,Ecuador,Duran,-2.2,-79.8333359,1
3265,Ecuador,Salinas,-2.2166667,-80.9666672,1
3291,Ecuador,San Lorenzo de Esmeraldas,1.2883333,-78.8369446,1
3309,Ecuador,Muisne,0.6,-80.0333328,1
3455,Estonia,Orissaare,58.5591651,23.0826187,1
3584,Finland,Kotka,60.4666667,26.916666,1
3615,Finland,Hamina,60.5666667,27.2000008,1
3646,Finland,Naantali,60.45,22.0333328,1
3661,Finland,Mariehamn,60.1,19.9500008,1
3726,France,Antibes,43.5833333,7.1166668,1
3735,France,Saint-Nazaire,47.2833333,-2.2,1
3772,Gabon,Port-Gentil,-0.7166667,8.7833328,1
3792,Gabon,Mayumba,-3.4166667,10.6499996,1
3796,Gabon,Omboue,-1.5666667,9.25,1
4010,Germany,Rostock,54.0886975,12.1404934,1
4196,Greece,Mytilini,39.11,26.5547218,1
4206,Greece,Chios,38.3677778,26.1358337,1
4218,Greece,Kos,36.8933333,27.2888889,1
4240,Grenada,Grenville,12.1166667,-61.6166649,1
4243,Grenada,Hillsborough,12.4833333,-61.4666672,1
4344,Guyana,Georgetown,6.8,-58.1666679,1
4346,Guyana,New Amsterdam,6.25,-57.5166664,1
4347,Guyana,Bartica,6.4,-58.6166649,1
4349,Guyana,Rosignol,6.2833333,-57.5333328,1
4350,Guyana,Mahaica Village,6.6833333,-57.9166679,1
4351,Guyana,Vreed en Hoop,6.8075,-58.1869431,1
4352,Guyana,Fort Wellington,6.4,-57.5999985,1
4353,Guyana,Mahaicony Village,6.55,-57.7999992,1
4359,Haiti,Cap-Haitien,19.7577778,-72.2041702,1
4363,Haiti,Les Cayes,18.2,-73.75,1
4376,Haiti,Fort Liberte,19.6677778,-71.8397217,1
4424,Haiti,Phaeton,19.6741667,-71.8972244,1
4446,Haiti,Cayes Jacmel,18.2302778,-72.3961105,1
4520,Honduras,Puerto Lempira,15.2666667,-83.7666702,1
4673,Iceland,Neskaupstadur,65.15,-13.6999998,1
4697,Iceland,Hnifsdalur,66.1166667,-23.1333332,1
4708,Iceland,Raufarhofn,66.45,-15.9499998,1
4713,Iceland,Hofsos,65.9,-19.4333324,1
4714,Iceland,Breiddalsvik,64.8,-14,1
4730,Kiribati,Tarawa,-0.869217,169.5406342,1
4731,Kiribati,Taburao,1.8166667,173.0166626,1
4734,Kiribati,Utiroa,-1.2166667,174.75,1
4735,Kiribati,Tabukiniberu,-1.3419259,175.9894714,1
4736,Kiribati,Rawannawi,2.05,173.2666626,1
4792,India,Thiruvananthapuram,8.4833333,76.9166641,1
4826,India,Calicut,11.25,75.7666702,1
4840,India,Quilon,8.8833333,76.5999985,1
4844,Indonesia,Surabaya,-7.2491667,112.7508316,1
4860,Indonesia,Banjarmasin,-3.3333333,114.5833359,1
4863,Indonesia,Pontianak,-0.0333333,109.3333359,1
4865,Indonesia,Balikpapan,-1.26753,116.8288727,1
4869,Indonesia,Samarinda,-0.5,117.1500015,1
4879,Indonesia,Cirebon,-6.7333333,108.5666656,1
4886,Indonesia,Loa Janan,-0.582952,117.0950317,1
4908,Indonesia,Pasuruan,-7.6333333,112.9000015,1
4919,Indonesia,Dumai,1.6833333,101.4499969,1
4921,Indonesia,Sidoarjo,-7.4538889,112.7202759,1
4939,Indonesia,Tanjungpinang,0.9166667,104.4499969,1
4979,Iran,Babol,36.5441667,52.6788902,1
5016,Iran,Behshahr,36.6944444,53.5424995,1
5108,Ireland,Dun Laoghaire,53.2939516,-6.1358643,1
5113,Ireland,Drogheda,53.7188889,-6.3477778,1
5136,Ireland,Greystones,53.1408333,-6.0630555,1
5149,Ireland,Sionainn,52.7038889,-8.8641663,1
5150,Ireland,Portmarnock,53.4230556,-6.1374998,1
5153,Ireland,Dungarvan,52.0880556,-7.625278,1
5155,Ireland,An Ros,53.5222986,-6.0930777,1
5157,Ireland,Eochaill,51.95,-7.8505554,1
5193,Ireland,Donabate,53.4872222,-6.1519446,1
5195,Ireland,Cionn tSaile,51.7075,-8.5305557,1
5315,Italy,Venice,45.4386111,12.3266668,1
5361,Italy,Pisa,43.7175199,10.3964996,1
5388,Italy,Trapani,38.015843,12.510767,1
5405,Jamaica,Portmore,17.9702424,-76.867218,1
5426,Jamaica,Lucea,18.45,-78.1666641,1
5464,Jamaica,Discovery Bay,18.4666667,-77.4000015,1
5467,Jamaica,Manchioneal,18.0333333,-76.2833328,1
5484,Japan,Yokohama,35.45,139.6499939,1
5507,Japan,Niigata,37.9166667,139.0500031,1
5510,Japan,Nishinomiya,34.7166667,135.3333282,1
5573,Japan,Sasebo,33.1591667,129.7227783,1
5750,Kenya,Mombasa,-4.05,39.6666679,1
5756,Kenya,Malindi,-3.2166667,40.1166649,1
5781,Kenya,Lamu,-2.2783333,40.9033318,1
5837,Kenya,Kipini,-2.5227778,40.538887,1
5865,Kuwait,Al Funaytis,29.2252778,48.1016655,1
5951,Latvia,Ragaciems,57.0244444,23.4944439,1
5957,Latvia,Berzciems,57.2463889,23.1736107,1
5959,Latvia,Kesterciems,57.1147222,23.2311115,1
5960,Latvia,Apsuciems,57.0616667,23.3055553,1
5961,Latvia,Upesgriva,57.3863889,23.0138893,1
5965,Latvia,Abragciems,57.2027778,23.2036114,1
5988,Libya,Tripoli,32.8925,13.1800003,1
5994,Libya,Zuwarah,32.9344444,12.0791664,1
6018,Libya,Az Zuwaytinah,30.9538889,20.121666,1
6112,Lithuania,Neringa,55.3719444,21.0647221,1
6356,Malawi,Nosy Varika,-20.5833333,48.5333328,1
6408,Malawi,Andovoranto,-18.95,49.0999985,1
6451,Maldives,Tawau,4.25,117.9000015,1
6453,Maldives,Kota Baharu,6.1333333,102.25,1
6456,Maldives,Taiping,4.85,100.7333298,1
6459,Maldives,Sibu,2.3,111.8166656,1
6461,Maldives,George Town,5.4166667,100.3333359,1
6466,Maldives,Bintulu,3.1666667,113.0333328,1
6473,Maldives,Lahad Datu,5.0333333,118.3166656,1
6474,Maldives,Port Dickson,2.5166667,101.8000031,1
6475,Maldives,Cukai,4.25,103.4166641,1
6481,Maldives,Victoria,5.2766667,115.2416687,1
6495,Maldives,Kuala Selangor,3.35,101.25,1
6514,Maldives,Kudat,6.8833333,116.8333359,1
6520,Maldives,Sarikei,2.1166667,111.5166702,1
6530,Maldives,Sungai Besar,3.6666667,100.9833298,1
6540,Mali,Hithadhoo,-0.6,73.0833359,1
6547,Mali,Midu,-0.5833333,73.2333298,1
6592,Marshall Islands,Majuro,7.1,171.3833313,1
6594,Marshall Islands,Ine,6.9833333,171.6999969,1
6715,Mexico,Veracruz,19.2,-96.1333313,1
6731,Mexico,Mazatlan,23.2166667,-106.4166641,1
6752,Mexico,Coatzacoalcos,18.15,-94.4166641,1
6755,Mexico,Campeche,19.85,-90.5333328,1
6773,Mexico,Ciudad del Carmen,18.6333333,-91.8333359,1
6777,Mexico,Chetumal,18.5,-88.3000031,1
6794,Micronesia,Kolonia,6.9638889,158.2083282,1
6799,Micronesia,Paata,7.3861111,151.8733368,1
6898,Morocco,El Jadida,33.25,-8.5,1
6933,Morocco,Martil,35.61,-5.27,1
6961,Mozambique,Quelimane,-17.8786111,36.8883324,1
6975,Mozambique,Ilha de Mocambique,-15.0341667,40.7358322,1
6977,Mozambique,Mocimboa,-11.3166667,40.3499985,1
7026,New Zealand,Tauranga,-37.6861111,176.1666718,1
7039,New Zealand,Timaru,-44.4,171.25,1
7089,New Zealand,Bluff,-46.6,168.3333282,1
7179,Nicaragua,Laguna de Perlas,12.35,-83.6666641,1
7358,Norway,Hungnam,39.8316667,127.6186142,1
7362,Norway,Sinuiju,40.1005556,124.398056,1
7390,Norway,Iwon-up,40.3230556,128.6552734,1
7405,Norway,Samho-rodongjagu,39.9475,127.871109,1
7427,Norway,Yomju,39.8933333,124.598053,1
7554,Palau,Meyungs,7.3519444,134.4544373,1
7556,Palau,Kloulklubed,7.0394444,134.2525024,1
7558,Palau,Melekeok,7.4933333,134.6341705,1
7559,Palau,Ngaramasch,6.9013889,134.1294403,1
7561,Palau,Ulimang,7.6216667,134.6388855,1
7562,Palau,Ollei,7.7172222,134.6122284,1
7563,Palau,Oikull,7.3655556,134.5836182,1
7604,Panama,Guabito,9.5,-82.6166687,1
7634,Panama,Ustupo,9.1333333,-77.9333344,1
7644,Panama,Progreso,8.45,-82.8333359,1
7650,Panama,La Esperanza,8.4,-82.8000031,1
7670,Papua New Guinea,Madang,-5.2166667,145.8000031,1
7671,Papua New Guinea,Kokopo,-4.35,152.2666626,1
7677,Papua New Guinea,Daru,-9.0833333,143.1999969,1
7679,Papua New Guinea,Kavieng,-2.5666667,150.8000031,1
7681,Papua New Guinea,Vanimo,-2.6833333,141.3000031,1
7688,Papua New Guinea,Kerema,-7.9666667,145.7666626,1
7694,Papua New Guinea,Ambunti,-4.2333333,142.8333282,1
7702,Papua New Guinea,Buin,-6.8333333,155.7333374,1
7805,Peru,Callao,-12.0666667,-77.1500015,1
7807,Peru,Chiclayo,-6.7736111,-79.8416672,1
7811,Peru,Chimbote,-9.0852778,-78.578331,1
7832,Peru,Paita,-5.0891667,-81.1144409,1
7861,Peru,Mollendo,-17.0230556,-72.0147247,1
7867,Peru,Monsefu,-6.8780556,-79.8722229,1
7877,Peru,Sechura,-5.5569444,-80.8222198,1
7879,Peru,Santiago de Cao,-7.9588889,-79.2391663,1
7895,Peru,San Pedro de Lloc,-7.4327778,-79.5058365,1
7901,Peru,Pimentel,-6.8366667,-79.934166,1
7923,Philippines,Lapu-Lapu City,10.3102778,123.9494476,1
7935,Philippines,Panalanoy,11.2511111,125.0063858,1
7974,Philippines,Ormoc,11.0063889,124.6074982,1
7995,Philippines,Bago,10.5377778,122.8333359,1
8009,Poland,Szczecin,53.4293784,14.5529366,1
8107,Portugal,Setubal,38.5243986,-8.8881969,1
8134,Portugal,Almada,38.6833333,-9.1499996,1
8145,Portugal,Povoa de Santa Iria,38.85,-9.0666666,1
8155,Portugal,Paco de Arcos,38.6956928,-9.2914295,1
8179,Portugal,Cova da Piedade,38.6666667,-9.1499996,1
8187,Portugal,Lagos,37.102015,-8.674221,1
8189,Portugal,Santa Iria da Azoia,38.85,-9.083333,1
8194,Portugal,Sacavem,38.7833333,-9.1000004,1
8199,Portugal,Parede,38.6833333,-9.3500004,1
8206,Qatar,Al Khawr,25.6838889,51.5058327,1
8220,Romania,Constanta,44.1833333,28.6499996,1
8268,Romania,Mangalia,43.8,28.583334,1
8397,Saint Kitts and Nevis,Kingstown,13.1333333,-61.2166672,1
8398,Saint Kitts and Nevis,Kingstown Park,13.1583333,-61.2350006,1
8400,Saint Kitts and Nevis,Byera Village,13.25,-61.1166649,1
8506,Samoa,Vaitele,-13.8166667,-171.7833405,1
8509,Samoa,Malie,-13.8,-171.8166656,1
8511,Samoa,Vaiusu,-13.8166667,-171.7666626,1
8512,Samoa,Afenga,-13.8,-171.8166656,1
8532,Samoa,Toamua,-13.8,-171.7833405,1
8538,Samoa,Vaigaga,-13.8166667,-171.8000031,1
8552,Samoa,Sasina,-13.45,-172.4333344,1
8570,Samoa,Tafua,-13.7833333,-172.2166595,1
8580,Samoa,Leusoalii,-13.85,-171.6666718,1
8588,Samoa,Tufutafoe,-13.4833333,-172.7666626,1
8610,Senegal,Kolda,12.8833333,-14.9499998,1
8612,Senegal,Joal-Fadiout,14.1666667,-16.833334,1
8624,Senegal,Kayar,14.9191667,-17.1211109,1
8643,Senegal,Foundiougne,14.1333333,-16.4666672,1
8646,Senegal,Warang,14.3734946,-16.9436646,1
8697,Slovenia,Piran,45.5277778,13.5705557,1
8753,Solomon Islands,Tulaghi,-9.1,160.1499939,1
8755,Solomon Islands,Lata,-10.7166667,165.8333282,1
8763,Somalia,Bender Cassim,11.2847222,49.1824989,1
8790,Somalia,Bargaal,11.2833333,51.0833321,1
8873,South Africa,Saldanha,-33.0166667,17.9500008,1
8989,Spain,Malaga,36.7201559,-4.4203448,1
8996,Spain,Alacant,38.3451735,-0.4814887,1
9000,Spain,A Coruna,43.3713496,-8.3960009,1
9017,Spain,Santander,43.4647222,-3.8044443,1
9027,Spain,Huelva,37.2583333,-6.9508333,1
9041,Spain,Algeciras,36.1275,-5.4538889,1
9060,Spain,El Puerto de Santa Maria,36.5938924,-6.2329817,1
9079,Spain,Benidorm,38.5381628,-0.1309776,1
9083,Sri Lanka,Colombo,6.9319444,79.8477783,1
9086,Sri Lanka,Jaffna,9.6666667,80,1
9091,Sri Lanka,Trincomalee,8.5666667,81.2333298,1
9092,Sri Lanka,Kalmunai,7.4166667,81.8166656,1
9094,Sri Lanka,Point Pedro,9.8166667,80.2333298,1
9095,Sri Lanka,Batticaloa,7.7166667,81.6999969,1
9097,Sri Lanka,Valvedditturai,9.8166667,80.1666641,1
9105,Sri Lanka,Hendala,6.9838889,79.8763885,1
9114,Sri Lanka,Panadura,6.7133333,79.9041672,1
9230,Suriname,Nieuw Nickerie,5.95,-56.9833336,1
9232,Suriname,Nieuw Amsterdam,5.8833333,-55.0833321,1
9233,Suriname,Marienburg,5.8833333,-55.0499992,1
9239,Suriname,Totness,5.8833333,-56.3166656,1
9297,Sweden,Karlskrona,56.1615642,15.586606,1
9306,Sweden,Ornskoldsvik,63.290914,18.7152538,1
9356,Sweden,Nynashamn,58.9033657,17.9479256,1
9361,Sweden,Strangnas,59.3774087,17.0311909,1
9606,Tanzania,Tanga,-5.0666667,39.0999985,1
9620,Tanzania,Bagamoyo,-6.4333333,38.9000015,1
9632,Tanzania,Lindi,-10,39.7166672,1
9680,Tanzania,Sokoni,-6.4333333,39.5499992,1
9754,Thailand,Narathiwat,6.4244444,101.8236084,1
9795,Thailand,Yaring,6.8616667,101.3649979,1
9822,Tonga,Neiafu,-18.65,-173.9833374,1
9823,Tonga,Havelu,-21.15,-175.2166595,1
9824,Tonga,Vaini,-21.2,-175.1999969,1
9827,Tonga,Hihifo,-15.95,-173.75,1
9834,Tunisia,Gabes,33.8833333,10.1166668,1
9837,Tunisia,La Goulette,36.8180556,10.3050003,1
9839,Tunisia,Monastir,35.7833333,10.833333,1
9846,Tunisia,Douane,36.4447222,10.7508335,1
9851,Tunisia,Hammam-Lif,36.7330556,10.3361111,1
9865,Tunisia,Korba,36.5786111,10.8586111,1
9870,Tunisia,Ksour Essaf,35.4202778,10.9980555,1
9894,Tunisia,As Sayyadah,35.6666667,10.8999996,1
9920,Tunisia,Harqalah,36.0333333,10.5,1
9955,Turkey,Trabzon,41.005,39.726944,1
9982,Turkey,Ordu,40.9847222,37.8788872,1
10017,Turkey,Fatsa,41.0277778,37.5013885,1
10022,Turkey,Unye,41.1313889,37.2825012,1
10109,Ukraine,Kerch,45.3583333,36.4758339,1
10131,Ukraine,Feodosiya,45.0333333,35.3833351,1
10202,Uruguay,Punta del Este,-34.9666667,-54.9500008,1
10225,Uruguay,La Paloma,-34.6666667,-54.1666679,1
10330,Venezuela,Tucupita,9.0686111,-62.0491676,1
10334,Venezuela,Lagunillas,10.1408333,-71.2613907,1
10350,Venezuela,Santa Rita,10.5380556,-71.5169449,1
10365,Vietnam,Can Tho,10.0333333,105.7833328,1
10366,Vietnam,Rach Gia,10.0166667,105.0833359,1
10368,Vietnam,Vung Tau,10.35,107.0666656,1
10369,Vietnam,Nam Dinh,20.4166667,106.1666641,1
10378,Vietnam,My Tho,10.35,106.3499985,1
10379,Vietnam,Soc Trang,9.6033333,105.9800034,1
10382,Vietnam,Ca Mau,9.1769444,105.1500015,1
10383,Vietnam,Bac Lieu,9.285,105.7244415,1
